lat,lng,predicted_label
1.789,-85.847,Bent
1.791,-65.965,FR II
1.791,-66.379,FR I
1.795,-25.216,FR I
1.826,-25.26,FR II
1.832,-24.78,FR II
1.837,-24.804,FR II
1.845,-24.848,Bent
1.849,-24.317,Bent
1.854,-66.647,FR II
1.867,-24.864,Bent
1.887,-24.777,FR II
1.915,-25.148,Bent
1.932,-66.932,FR II
1.934,-66.555,FR II
1.938,-66.289,Point Source
1.939,-24.865,FR II
1.944,-65.163,Point Source
1.946,-24.669,FR II
1.948,-25.364,FR II
1.983,-66.519,FR II
10.009,-9.18,Bent
10.016,-21.463,Bent
10.028,-9.522,Exotic
10.036,-9.286,FR I
10.036,-9.715,FR II
10.042,-9.189,FR II
10.051,-20.19,FR I
10.08,-21.53,FR I
10.084,-9.952,FR II
10.102,-9.258,FR II
10.111,-21.018,FR I
10.116,-9.988,FR II
10.122,-20.112,Bent
10.124,-20.157,FR I
10.125,-20.787,FR II
10.127,-20.753,FR II
10.127,-9.68,Bent
10.128,-10.022,Exotic
10.128,-9.67,Point Source
10.139,-19.941,FR II
10.15,-8.838,FR I
10.164,-9.474,FR II
10.176,-8.948,Point Source
10.192,-20.711,Bent
10.192,-9.693,FR II
10.193,-8.716,FR II
10.194,-9.233,FR II
10.197,-9.211,FR I
10.201,-20.728,Point Source
10.204,-9.81,FR II
10.211,-20.753,Bent
10.216,-8.905,FR II
10.227,-20.542,FR I
10.227,-9.02,FR II
10.236,-20.709,Bent
10.237,-9.237,FR II
10.241,-9.087,FR II
10.246,-9.621,FR II
10.248,-9.734,FR II
10.248,-9.989,FR II
10.259,-9.209,Bent
10.26,-20.29,FR II
10.267,-9.054,FR I
10.274,-9.408,Bent
10.277,-9.296,FR II
10.29,-20.593,Bent
10.303,-21.523,FR I
10.305,-21.085,Point Source
10.317,-20.518,Bent
10.332,-20.556,FR II
10.332,-9.391,FR II
10.339,-9.055,Point Source
10.35,-20.97,Point Source
10.365,-9.704,FR II
10.367,-8.844,FR II
10.371,-9.375,Exotic
10.373,-20.211,FR II
10.377,-9.263,FR I
10.387,-9.466,Bent
10.39,-20.332,Bent
10.392,-9.92,FR II
10.393,-8.268,Point Source
10.398,-9.655,FR II
10.406,-9.361,FR II
10.419,-9.375,FR II
10.43,-9.117,FR I
10.431,-9.659,FR I
10.437,-9.444,Exotic
10.438,-9.464,Bent
10.44,-20.459,FR II
10.449,-9.117,FR I
10.45,-9.278,FR II
10.451,-9.346,FR I
10.452,-8.77,FR II
10.455,-9.605,FR I
10.46,-9.304,Bent
10.461,-20.082,Bent
10.462,-20.697,FR II
10.462,-8.85,FR II
10.462,-9.167,FR II
10.465,-19.953,FR II
10.467,-9.43,Bent
10.468,-9.262,Bent
10.473,-9.492,FR II
10.475,-9.5,FR II
10.479,-20.741,FR I
10.49,-19.843,FR II
10.493,-9.282,FR I
10.498,-9.641,FR II
10.499,-20.829,Bent
10.507,-9.296,Bent
10.513,-8.626,FR I
10.523,-9.475,FR II
10.525,-9.561,Bent
10.528,-20.38,FR I
10.53,-9.607,FR I
10.534,-20.978,FR II
10.535,-8.827,FR II
10.536,-19.879,Point Source
10.538,-8.851,Point Source
10.538,-9.161,Exotic
10.538,-9.673,FR II
10.539,-19.704,FR II
10.54,-21.596,FR I
10.545,-10.091,FR I
10.548,-21.35,FR I
10.56,-9.546,FR I
10.562,-9.46,FR I
10.574,-19.765,FR I
10.576,-10.066,FR I
10.584,-9.59,Bent
10.591,-20.619,FR II
10.592,-20.809,Bent
10.592,-9.488,FR II
10.598,-8.725,FR II
10.607,-8.964,FR II
10.608,-8.475,FR II
10.615,-9.816,FR I
10.62,-20.598,Bent
10.624,-9.945,Point Source
10.626,-9.359,FR II
10.628,-20.194,FR II
10.628,-20.79,FR II
10.631,-20.583,FR II
10.631,-20.673,FR II
10.634,-8.263,FR II
10.634,-8.339,FR II
10.636,-20.748,Bent
10.638,-21.112,FR II
10.641,-9.908,Bent
10.642,-8.726,FR II
10.642,-9.722,FR II
10.65,-9.853,FR II
10.655,-9.92,FR I
10.656,-20.639,Bent
10.66,-20.78,FR II
10.66,-9.832,Bent
10.661,-8.932,FR II
10.67,-9.515,Bent
10.671,-20.016,FR I
10.671,-20.795,Bent
10.674,-21.233,Bent
10.677,-20.378,FR I
10.677,-20.578,Bent
10.682,-21.011,Bent
10.685,-10.055,Bent
10.691,-9.431,FR I
10.693,-10.051,FR II
10.708,-20.286,FR II
10.719,-9.552,FR II
10.72,-9.607,Bent
10.729,-9.956,Bent
10.741,-20.904,Bent
10.744,-20.58,Bent
10.745,-9.23,FR II
10.748,-9.529,FR II
10.755,-9.447,FR II
10.761,-20.747,FR II
10.761,-9.364,FR I
10.763,-20.621,Bent
10.779,-20.254,Bent
10.787,-20.612,FR II
10.798,-20.533,Bent
10.808,-20.572,Bent
10.814,-20.547,Bent
10.818,-8.952,FR II
10.833,-20.668,Bent
10.838,-9.297,FR II
10.84,-9.593,Bent
10.848,-20.32,FR II
10.853,-20.628,FR II
10.86,-10.332,FR I
10.86,-20.596,FR II
10.867,-8.964,FR I
10.872,-10.177,Point Source
10.872,-20.326,Bent
10.877,-8.954,Point Source
10.88,-20.283,Point Source
10.882,-10.162,FR I
10.883,-20.6,Point Source
10.887,-21.045,FR I
10.896,-8.61,FR II
10.902,-19.619,FR II
10.902,-20.701,Bent
10.907,-9.151,FR II
10.916,-21.21,FR II
10.918,-10.218,FR I
10.925,-10.358,FR I
10.941,-20.499,Point Source
10.954,-20.33,FR I
10.957,-21.312,FR II
10.971,-20.458,FR II
10.971,-9.244,FR II
10.972,-19.59,FR II
10.98,-20.279,FR I
10.981,-20.416,FR II
10.982,-9.252,Bent
10.988,-20.617,Bent
10.993,-9.372,Bent
100.001,-54.222,FR II
100.013,-54.305,FR II
100.023,-54.1,FR II
100.031,-47.924,FR II
100.041,-54.872,FR II
100.049,-48.515,FR II
100.051,-48.324,Bent
100.051,-48.661,FR II
100.056,-47.694,FR I
100.094,-53.969,FR II
100.096,-49.299,Point Source
100.101,-48.312,FR I
100.102,-47.787,FR II
100.107,-54.144,FR II
100.108,-48.364,FR II
100.118,-48.487,FR II
100.139,-47.825,FR II
100.156,-48.508,FR II
100.156,-53.807,FR II
100.164,-53.734,FR II
100.181,-54.034,FR II
100.189,-48.711,Bent
100.197,-48.431,FR II
100.231,-48.487,Bent
100.232,-48.23,FR II
100.294,-48.23,Point Source
100.318,-47.984,FR I
100.318,-54.924,Bent
100.319,-54.133,FR II
100.325,-53.938,FR II
100.33,-54.658,FR II
100.355,-53.417,Bent
100.362,-54.245,Exotic
100.373,-48.635,FR II
100.375,-53.592,FR II
100.375,-53.861,FR II
100.407,-54.62,Point Source
100.41,-54.306,FR I
100.418,-54.232,FR II
100.423,-54.156,FR II
100.441,-53.984,FR II
100.454,-54.42,FR I
100.455,-48.475,FR II
100.466,-53.382,FR II
100.489,-53.83,FR II
100.492,-55.05,FR I
100.497,-54.169,FR II
100.504,-53.29,Point Source
100.513,-54.03,FR I
100.514,-48.699,FR II
100.516,-54.656,FR II
100.528,-49.465,FR II
100.528,-54.071,Point Source
100.533,-53.414,FR II
100.536,-48.587,FR II
100.537,-54.803,FR I
100.543,-54.627,Point Source
100.546,-49.225,FR II
100.565,-55.095,FR I
100.572,-54.256,FR II
100.591,-53.813,FR I
100.598,-54.183,Bent
100.619,-54.88,FR I
100.625,-48.0,FR I
100.631,-54.596,Bent
100.639,-54.596,Bent
100.641,-48.817,FR I
100.669,-54.21,FR II
100.681,-54.12,FR II
100.707,-54.262,FR I
100.709,-54.127,FR I
100.713,-54.779,FR II
100.779,-53.168,Bent
100.802,-47.736,Point Source
100.83,-54.103,FR II
100.9,-54.21,FR II
100.931,-54.582,Bent
100.944,-54.161,FR I
100.947,-54.145,FR II
100.953,-53.842,Bent
100.961,-54.178,FR II
101.011,-53.833,FR II
101.026,-54.72,FR II
101.045,-54.022,Bent
101.086,-53.804,Bent
101.108,-53.781,FR II
101.127,-53.86,FR II
101.145,-54.167,Bent
101.193,-54.316,FR II
101.202,-54.002,FR II
101.218,-54.186,FR I
101.221,-54.466,Bent
101.236,-54.224,FR I
101.242,-54.293,FR II
101.253,-54.013,FR II
101.269,-54.312,Bent
101.273,-54.807,Bent
101.285,-54.784,FR I
101.296,-54.254,Bent
101.301,-54.594,Bent
101.312,-54.051,Bent
101.316,-54.224,FR II
101.317,-54.268,FR I
101.319,-54.025,FR II
101.334,-54.015,FR II
101.354,-54.794,FR II
101.359,-54.763,FR II
101.362,-54.248,FR I
101.368,-54.227,FR II
101.391,-53.899,FR II
101.397,-54.191,FR I
101.402,-54.691,FR I
101.405,-54.241,Bent
101.406,-54.23,FR II
101.423,-54.181,FR II
101.423,-54.194,FR II
101.433,-54.638,FR II
101.438,-54.226,FR II
101.444,-54.108,FR II
101.446,-54.251,FR I
101.465,-54.084,FR I
101.471,-54.497,FR II
101.481,-54.619,Bent
101.494,-53.452,FR II
101.5,-54.144,FR II
101.511,-54.38,FR II
101.518,-54.196,Point Source
101.518,-54.414,FR II
101.545,-53.57,Bent
101.548,-55.102,FR I
101.551,-53.402,FR II
101.62,-54.855,FR I
101.632,-53.861,Bent
101.638,-54.396,FR I
101.719,-54.808,Bent
101.755,-54.196,FR II
101.776,-54.526,FR II
101.789,-53.517,FR I
101.795,-54.319,FR II
101.796,-54.727,FR I
101.814,-54.868,FR II
101.852,-53.689,FR II
101.856,-54.267,Bent
101.904,-54.734,FR II
101.925,-53.615,FR II
101.941,-53.535,Bent
101.983,-53.631,Bent
101.987,-53.535,Bent
101.987,-54.53,FR II
102.019,-53.987,FR I
102.021,-54.125,Bent
102.058,-54.841,FR I
102.061,-54.16,Bent
102.066,-54.437,Bent
102.093,-54.085,FR II
102.134,-54.76,FR II
102.135,-54.182,Bent
102.16,-54.159,FR I
102.183,-53.541,FR I
102.196,-53.448,FR II
102.205,-54.093,FR II
102.257,-54.247,Bent
102.32,-54.943,FR I
102.372,-54.192,FR I
102.447,-55.014,FR II
102.472,-53.925,FR I
102.499,-54.718,Bent
102.518,-54.121,FR I
102.532,-54.571,FR II
102.56,-54.298,FR II
102.575,-54.163,Point Source
102.582,-54.037,FR I
102.583,-53.988,Bent
102.596,-54.395,FR II
102.717,-54.615,FR II
102.775,-54.259,FR II
102.799,-55.067,FR II
102.874,-53.723,Bent
102.925,-55.144,Bent
102.941,-54.11,FR I
102.946,-54.017,FR II
102.963,-55.811,Bent
102.976,-54.099,FR I
102.979,-55.802,FR I
103.059,-55.719,Bent
103.071,-54.408,FR II
103.113,-55.742,Bent
103.143,-55.986,Bent
103.202,-56.709,Bent
103.212,-55.953,FR I
103.304,-56.33,FR II
103.363,-55.582,FR I
103.365,-56.725,Bent
103.468,-55.903,Bent
103.48,-56.054,FR II
103.513,-56.571,FR II
103.534,-55.752,FR II
103.591,-55.677,Bent
103.636,-55.78,FR II
103.643,-56.503,FR I
103.65,-55.983,Bent
103.67,-55.803,FR II
103.676,-55.076,Bent
103.678,-55.994,Bent
103.684,-56.062,FR I
103.692,-56.442,FR II
103.697,-55.522,FR I
103.758,-56.506,FR I
103.77,-55.993,FR II
103.779,-56.507,Point Source
103.781,-55.824,FR II
103.808,-56.384,FR II
103.82,-56.034,Point Source
103.822,-56.761,FR II
103.827,-55.556,FR II
103.832,-55.861,Bent
103.852,-55.913,FR II
103.867,-55.935,FR I
103.873,-55.076,Bent
103.911,-55.692,FR I
103.912,-56.004,FR I
103.936,-55.878,FR II
103.943,-55.683,Bent
103.952,-55.353,FR I
103.97,-56.281,FR I
103.991,-55.9,FR II
103.997,-55.839,FR I
104.028,-56.232,FR II
104.044,-55.457,FR I
104.062,-55.755,Bent
104.109,-55.983,FR II
104.117,-55.957,FR II
104.134,-55.808,FR II
104.138,-55.444,Bent
104.138,-55.973,FR II
104.149,-55.988,FR I
104.183,-56.077,FR II
104.186,-55.832,FR I
104.186,-55.952,FR II
104.219,-55.059,FR I
104.223,-56.216,FR II
104.24,-55.535,Bent
104.246,-56.01,FR I
104.298,-56.464,FR I
104.304,-56.456,FR I
104.32,-55.859,FR II
104.383,-56.227,FR II
104.402,-56.047,FR II
104.41,-56.474,FR I
104.412,-55.806,Bent
104.435,-55.37,FR I
104.463,-55.993,FR II
104.477,-55.951,FR II
104.478,-55.915,Bent
104.48,-55.816,FR II
104.481,-55.694,FR II
104.496,-55.723,FR I
104.503,-55.129,Bent
104.507,-55.889,FR II
104.508,-55.092,FR II
104.51,-56.129,FR II
104.511,-55.595,FR I
104.518,-55.81,FR II
104.521,-55.009,Bent
104.529,-56.933,FR I
104.534,-55.962,FR II
104.542,-55.657,FR I
104.551,-55.081,FR II
104.552,-56.107,Bent
104.559,-55.906,FR I
104.567,-55.697,Bent
104.574,-55.085,Bent
104.578,-56.211,FR I
104.587,-56.552,Bent
104.602,-55.419,FR II
104.635,-55.061,Bent
104.644,-56.009,Bent
104.651,-56.129,FR II
104.654,-55.874,FR II
104.654,-56.013,Point Source
104.664,-56.137,FR I
104.668,-56.757,Bent
104.676,-56.132,FR II
104.677,-56.009,FR II
104.68,-56.044,Bent
104.686,-55.968,Exotic
104.687,-55.924,Bent
104.694,-55.99,Bent
104.704,-56.721,Bent
104.707,-56.276,Bent
104.724,-55.829,FR I
104.728,-55.822,Bent
104.732,-55.866,FR II
104.732,-56.028,FR II
104.74,-55.927,Bent
104.742,-55.873,FR I
104.746,-56.404,FR II
104.769,-56.374,Bent
104.775,-56.114,FR II
104.786,-55.303,FR II
104.811,-55.472,Bent
104.812,-55.944,FR I
104.812,-56.048,FR II
104.837,-55.42,FR I
104.862,-56.155,Bent
104.874,-56.513,FR II
104.876,-55.316,FR I
104.891,-56.276,Exotic
104.925,-56.084,FR II
104.927,-55.911,FR II
104.937,-56.04,FR I
104.94,-56.179,FR II
104.942,-55.953,FR I
104.947,-55.151,FR II
104.948,-56.163,Point Source
104.952,-56.123,FR I
104.963,-55.885,FR II
104.963,-55.971,FR I
104.973,-55.45,FR II
104.981,-56.153,Bent
104.992,-55.385,FR II
104.995,-55.685,Bent
104.998,-56.253,Bent
105.003,-55.25,FR I
105.023,-55.394,FR II
105.067,-55.386,FR II
105.072,-55.987,FR I
105.097,-55.582,FR I
105.119,-55.488,Bent
105.119,-55.867,Bent
105.12,-56.123,FR II
105.123,-56.558,Bent
105.141,-55.718,FR I
105.18,-55.445,Bent
105.233,-55.747,Bent
105.237,-55.089,Bent
105.243,-56.278,Bent
105.265,-56.016,FR II
105.269,-55.409,FR I
105.363,-56.105,FR I
105.398,-55.5,Bent
105.441,-56.853,FR I
105.444,-56.382,FR II
105.448,-55.142,FR I
105.456,-56.492,FR I
105.459,-56.589,FR I
105.465,-55.751,Bent
105.465,-55.861,FR I
105.469,-55.913,FR I
105.538,-56.317,FR I
105.543,-55.612,FR I
105.567,-55.49,FR II
105.579,-55.223,FR II
105.594,-56.281,Bent
105.634,-55.996,FR II
105.651,-55.556,Bent
105.655,-56.786,Bent
105.663,-56.757,FR I
105.679,-55.728,FR II
105.689,-55.885,FR II
105.701,-56.255,FR II
105.816,-56.04,Bent
105.828,-56.097,FR I
105.84,-55.621,FR II
105.892,-56.533,FR I
105.954,-55.94,FR II
105.97,-55.853,Bent
106.007,-55.509,FR II
106.024,-55.866,FR I
106.038,-60.095,FR II
106.042,-55.238,FR I
106.043,-56.113,FR II
106.055,-61.15,FR II
106.063,-60.469,Point Source
106.07,-55.716,FR I
106.074,-56.523,Bent
106.085,-55.596,FR II
106.089,-60.06,Bent
106.114,-60.3,FR II
106.197,-60.491,FR I
106.211,-55.222,FR I
106.22,-60.288,FR I
106.269,-60.471,FR II
106.295,-60.886,FR I
106.343,-60.96,Bent
106.349,-56.194,Bent
106.401,-60.472,FR II
106.402,-61.109,Point Source
106.538,-60.431,FR I
106.541,-60.739,Point Source
106.605,-60.904,FR II
106.696,-60.692,Point Source
106.762,-61.312,FR II
106.772,-60.706,Point Source
106.824,-60.517,Bent
106.906,-61.115,FR I
106.945,-60.553,FR II
106.968,-61.106,Bent
106.986,-60.594,FR II
107.048,-60.741,Bent
107.062,-60.675,FR I
107.065,-60.478,FR II
107.107,-60.929,FR II
107.191,-61.109,Point Source
107.201,-60.377,Bent
107.205,-59.935,Bent
107.218,-59.716,FR I
107.225,-60.961,FR II
107.309,-59.803,FR II
107.367,-60.601,FR II
107.376,-60.726,FR II
107.403,-60.112,FR II
107.414,-60.715,FR I
107.415,-60.12,FR II
107.418,-60.262,FR II
107.422,-60.625,Exotic
107.424,-60.591,FR II
107.448,-60.195,FR II
107.462,-60.395,Point Source
107.492,-60.832,FR II
107.513,-60.673,FR I
107.514,-61.097,FR II
107.562,-60.336,FR II
107.572,-60.487,Point Source
107.606,-60.254,FR II
107.615,-59.97,Point Source
107.675,-60.606,FR II
107.676,-60.593,FR I
107.679,-60.411,Point Source
107.684,-60.955,FR II
107.692,-60.98,FR II
107.738,-60.571,FR I
107.747,-60.025,FR II
107.813,-61.116,FR II
107.814,-60.737,Point Source
107.828,-60.32,Bent
107.888,-59.621,FR II
107.891,-60.563,FR II
107.93,-60.584,FR II
107.932,-60.022,FR II
107.935,-60.842,Bent
107.939,-60.171,FR I
107.939,-60.47,FR I
107.944,-60.59,Bent
107.959,-60.538,FR II
107.965,-60.841,FR I
107.979,-60.398,FR I
107.992,-61.349,Bent
108.002,-60.463,Bent
108.012,-60.508,FR II
108.013,-60.094,Bent
108.037,-60.341,FR II
108.037,-60.504,Bent
108.043,-60.497,Point Source
108.049,-61.412,Bent
108.053,-60.379,FR II
108.057,-60.015,FR I
108.057,-60.634,FR II
108.074,-60.008,FR I
108.081,-60.555,FR II
108.085,-60.355,FR II
108.089,-61.073,FR II
108.099,-60.622,FR II
108.102,-60.713,FR I
108.105,-60.124,Bent
108.134,-59.545,FR II
108.14,-60.287,Bent
108.161,-60.543,FR II
108.173,-60.773,Point Source
108.192,-60.751,FR I
108.214,-59.716,FR II
108.251,-60.98,Bent
108.276,-60.987,Point Source
108.287,-60.699,Bent
108.305,-60.575,Point Source
108.34,-61.057,FR II
108.358,-60.279,FR I
108.361,-60.465,FR II
108.363,-60.634,Bent
108.403,-60.452,Bent
108.424,-61.354,Bent
108.443,-60.283,FR II
108.46,-60.588,FR II
108.474,-60.083,FR I
108.483,-61.045,Point Source
108.487,-60.659,FR II
108.494,-60.092,Bent
108.527,-60.14,FR I
108.539,-59.802,FR II
108.56,-59.762,FR II
108.569,-60.216,FR I
108.574,-59.598,FR II
108.583,-60.811,Bent
108.596,-60.076,FR II
108.604,-59.925,FR II
108.615,-59.872,FR I
108.617,-60.888,FR II
108.619,-60.53,FR II
108.623,-60.637,Bent
108.659,-61.386,FR II
108.681,-60.809,Bent
108.727,-61.259,Point Source
108.777,-60.289,FR I
108.786,-60.629,Bent
108.79,-60.381,FR II
108.806,-60.63,Bent
108.898,-60.269,FR II
108.922,-60.283,FR II
108.942,-60.196,FR I
108.994,-60.792,FR I
109.103,-60.684,Bent
109.108,-60.917,FR II
109.125,-59.898,Point Source
109.155,-61.168,FR I
109.179,-61.436,Bent
109.215,-60.661,FR I
109.217,-61.417,FR II
109.219,-60.537,FR II
109.225,-60.746,FR II
109.268,-60.707,FR II
109.274,-61.287,FR I
109.278,-60.688,Bent
109.284,-60.206,Point Source
109.297,-60.081,FR II
109.319,-60.654,Bent
109.332,-59.904,Bent
109.338,-60.681,FR II
109.347,-60.87,FR II
109.387,-60.724,FR II
109.423,-60.528,FR II
109.447,-60.275,FR II
109.45,-60.483,FR I
109.486,-60.771,Bent
109.554,-60.347,Point Source
109.618,-60.761,FR I
109.623,-60.42,FR II
109.665,-59.662,FR I
109.748,-60.294,FR II
109.898,-60.667,Point Source
109.939,-60.51,FR II
11.007,-9.511,FR I
11.02,-9.994,FR II
11.023,-20.563,Bent
11.044,-20.029,Exotic
11.064,-9.382,FR I
11.07,-20.902,FR I
11.075,-8.714,FR I
11.08,-9.4,FR II
11.091,-20.369,Bent
11.093,-9.322,FR II
11.101,-20.939,FR II
11.113,-20.489,FR II
11.129,-20.55,Bent
11.13,-20.144,FR II
11.138,-20.728,FR II
11.14,-20.885,FR I
11.141,-9.102,Bent
11.142,-9.319,FR I
11.147,-21.21,Point Source
11.147,-21.224,FR II
11.159,-19.97,Bent
11.162,-9.832,Exotic
11.163,-20.253,Bent
11.177,-19.99,FR I
11.179,-20.416,Bent
11.181,-21.008,FR II
11.181,-8.778,FR I
11.185,-9.775,FR II
11.19,-20.28,Point Source
11.207,-21.018,FR I
11.212,-9.7,FR I
11.224,-9.77,FR II
11.253,-20.426,FR II
11.272,-20.108,Bent
11.286,-20.697,FR I
11.292,-21.215,Bent
11.307,-20.588,Point Source
11.322,-20.434,FR II
11.333,-8.917,FR II
11.342,-9.262,Bent
11.344,-20.358,FR II
11.345,-9.289,FR II
11.358,-20.2,FR I
11.427,-48.777,FR II
11.429,-9.036,FR I
11.436,-49.53,Bent
11.455,-20.253,FR II
11.455,-21.052,Bent
11.46,-48.481,Bent
11.489,-9.548,FR II
11.502,-20.266,FR II
11.51,-20.135,FR I
11.551,-48.003,Bent
11.552,-20.892,Bent
11.599,-48.562,FR I
11.626,-20.678,FR II
11.674,-20.701,Point Source
11.675,-48.971,Bent
11.683,-21.154,Point Source
11.686,-21.083,FR II
11.712,-49.205,FR II
11.717,-48.631,Bent
11.739,-48.471,FR II
11.747,-21.365,Point Source
11.766,-48.687,Bent
11.766,-48.718,FR II
11.77,-20.143,Bent
11.786,-19.821,FR II
11.801,-20.645,Bent
11.824,-20.389,FR II
11.864,-48.237,Bent
11.866,-20.35,FR II
11.878,-48.53,FR II
11.896,-20.429,FR I
11.921,-48.687,FR II
11.926,-47.949,Bent
11.951,-48.982,FR II
11.958,-48.497,FR II
11.961,-48.669,FR II
110.073,-61.118,FR II
110.074,-61.104,Bent
110.915,-74.126,Bent
111.029,-75.06,Bent
111.161,-75.255,FR II
111.185,-74.961,Bent
111.252,-74.964,Bent
111.361,-74.612,FR II
111.392,-74.993,FR II
111.398,-75.181,FR I
111.473,-75.114,FR II
111.486,-74.762,FR II
111.621,-74.482,FR I
111.653,-75.501,FR I
111.804,-75.112,Bent
111.818,-74.631,FR I
111.929,-75.013,FR II
111.944,-75.409,FR II
112.019,-75.258,FR I
112.109,-74.657,FR I
112.128,-74.402,Bent
112.147,-75.05,FR I
112.229,-75.963,FR II
112.307,-74.639,FR I
112.307,-75.947,FR I
112.32,-74.893,FR II
112.321,-74.809,FR II
112.336,-75.566,FR I
112.387,-75.149,FR II
112.463,-75.211,FR II
112.508,-75.406,FR II
112.542,-74.471,FR I
112.681,-75.394,FR II
112.687,-74.213,FR II
112.731,-75.656,FR I
112.733,-74.713,FR II
112.741,-76.002,Point Source
112.751,-75.251,FR II
112.807,-74.667,Bent
112.808,-75.559,FR II
112.818,-74.536,FR II
112.842,-75.019,FR II
112.997,-74.509,FR I
113.07,-75.403,FR I
113.092,-74.136,FR I
113.105,-75.289,FR II
113.112,-75.01,FR II
113.117,-74.129,FR I
113.138,-74.911,FR II
113.153,-75.142,FR II
113.171,-74.828,FR I
113.185,-75.358,FR II
113.203,-74.96,FR I
113.224,-75.166,FR II
113.229,-75.646,Point Source
113.27,-75.633,Bent
113.308,-75.141,Bent
113.309,-75.228,FR II
113.355,-74.987,FR II
113.355,-75.247,FR II
113.362,-75.129,FR II
113.404,-75.029,FR I
113.415,-75.0,FR II
113.458,-75.081,FR II
113.502,-74.458,FR II
113.529,-74.643,FR II
113.564,-75.247,FR II
113.603,-76.012,FR II
113.606,-75.688,Bent
113.645,-75.283,FR II
113.67,-75.401,Point Source
113.677,-75.219,FR II
113.702,-75.218,FR II
113.761,-74.832,FR II
113.798,-74.402,FR I
113.827,-74.555,FR II
113.832,-75.394,FR I
113.877,-75.275,FR I
113.88,-74.882,Bent
113.934,-74.623,FR I
113.963,-75.805,FR I
114.002,-75.115,FR I
114.042,-74.687,FR I
114.081,-75.255,FR II
114.087,-74.95,FR II
114.091,-75.338,Point Source
114.1,-74.877,FR I
114.146,-75.423,FR II
114.149,-74.951,Bent
114.159,-74.749,FR I
114.173,-75.26,FR I
114.291,-75.079,Point Source
114.299,-75.788,FR II
114.311,-75.202,FR II
114.315,-74.244,FR II
114.323,-75.116,FR II
114.339,-74.436,FR I
114.346,-74.573,FR I
114.346,-74.677,FR II
114.346,-75.008,FR II
114.348,-75.038,FR II
114.4,-75.171,FR II
114.409,-74.941,FR I
114.436,-74.852,FR II
114.474,-74.952,FR II
114.474,-75.041,FR II
114.475,-74.402,Bent
114.505,-74.773,FR I
114.506,-74.901,FR II
114.53,-75.09,FR I
114.532,-75.11,FR II
114.551,-75.125,Bent
114.557,-74.975,FR II
114.578,-74.967,FR II
114.58,-74.906,FR II
114.592,-75.156,FR II
114.604,-54.189,FR I
114.605,-75.697,FR II
